airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-09,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,4960
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Air India,2019-05-21,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,13143
Jet Airways,2019-05-01,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Multiple Carriers,2019-03-27,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,12327
Multiple Carriers,2019-06-15,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Multiple Carriers,2019-06-01,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7038
Indigo,2019-05-03,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-04-09,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,15439
Spicejet,2019-04-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Spicejet,2019-05-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,No Info,14714
Air India,2019-06-09,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-03,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,In-flight meal not included,8066
Air India,2019-04-06,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,4697
Jet Airways,2019-06-27,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No Info,14300
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,8452
Indigo,2019-04-27,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Air Asia,2019-03-03,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,5964
Indigo,2019-06-15,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,3943
Air India,2019-06-15,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7384
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,21:00:00,490,1.0,In-flight meal not included,6007
Jet Airways,2019-04-09,Delhi,Cochin,20:55:00,12:35:00,940,1.0,No Info,11822
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Indigo,2019-05-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Air Asia,2019-05-18,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Indigo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6171
Goair,2019-04-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,6195
Goair,2019-03-27,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,10188
Air Asia,2019-04-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,18:50:00,535,1.0,In-flight meal not included,15400
Jet Airways,2019-03-27,Delhi,Cochin,09:55:00,18:50:00,535,1.0,In-flight meal not included,5963
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No Info,15129
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3625
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Air India,2019-06-12,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,11542
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,In-flight meal not included,10539
Air India,2019-04-01,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12192
Air India,2019-03-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5674
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,8452
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,In-flight meal not included,7341
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,In-flight meal not included,14053
Indigo,2019-03-18,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No Info,4462
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,14151
Air Asia,2019-05-01,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,09:15:00,725,1.0,No Info,14231
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,19:15:00,535,1.0,In-flight meal not included,7268
Jet Airways,2019-06-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,6287
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,In-flight meal not included,11992
Spicejet,2019-05-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,4991
Jet Airways,2019-03-15,Banglore,New Delhi,21:25:00,05:05:00,460,1.0,No Info,27210
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,No Info,14571
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14571
Indigo,2019-05-15,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-12,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Indigo,2019-05-18,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3858
Jet Airways,2019-04-18,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,No Info,17261
Air India,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,7199
Indigo,2019-04-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Indigo,2019-06-03,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Air India,2019-03-03,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,10216
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,14408
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8452
Vistara,2019-04-24,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Spicejet,2019-05-21,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,6297
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,18:15:00,750,1.0,No Info,14781
Indigo,2019-03-15,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,3342
Indigo,2019-03-24,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,8033
Goair,2019-04-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5752
Spicejet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,5830
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,11467
Multiple Carriers,2019-05-21,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,9103
Spicejet,2019-04-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,12373
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7155
Spicejet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-05-18,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,16840
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,09:25:00,690,1.0,No Info,12395
Multiple Carriers,2019-06-12,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7354
Indigo,2019-05-27,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,6206
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,7757
Jet Airways,2019-04-01,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,5406
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2470
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10413
Indigo,2019-05-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Goair,2019-05-09,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,8777
Indigo,2019-06-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,8066
Spicejet,2019-04-15,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,13542
Indigo,2019-05-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Indigo,2019-06-12,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Jet Airways,2019-05-24,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Indigo,2019-03-21,Delhi,Cochin,08:25:00,15:30:00,425,1.0,No Info,9709
Spicejet,2019-05-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Air India,2019-04-01,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,7893
Air India,2019-05-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,5883
Indigo,2019-06-24,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Indigo,2019-06-12,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5601
Air India,2019-03-06,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No Info,13942
Jet Airways,2019-06-06,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,14676
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2240,2.0,In-flight meal not included,9328
Jet Airways,2019-06-15,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No Info,14300
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,19:00:00,780,1.0,In-flight meal not included,10791
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,16274
Indigo,2019-03-03,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,7295
Spicejet,2019-04-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,7980
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Air India,2019-05-12,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Indigo,2019-05-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,7189
Jet Airways,2019-05-12,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,In-flight meal not included,10031
Air India,2019-05-18,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6327
Indigo,2019-06-09,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,14571
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,5963
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Jet Airways,2019-04-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Jet Airways,2019-05-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,23:00:00,680,1.0,In-flight meal not included,6992
Indigo,2019-04-09,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Multiple Carriers,2019-06-06,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7354
Multiple Carriers,2019-06-27,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,7741
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Indigo,2019-05-12,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6218
Indigo,2019-06-12,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6093
Indigo,2019-03-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,5733
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
Indigo,2019-05-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Air India,2019-04-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,8341
Air India,2019-06-27,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,11753
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Multiple Carriers,2019-06-24,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Spicejet,2019-06-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Air India,2019-06-06,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10939
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,20:20:00,875,1.0,No Info,13817
Vistara,2019-05-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,810,1.0,No Info,8907
Jet Airways,2019-05-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Indigo,2019-06-21,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3332
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,18:10:00,1395,1.0,In-flight meal not included,11134
Air India,2019-06-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,7662
Air India,2019-06-06,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Goair,2019-03-03,Delhi,Cochin,07:00:00,12:50:00,350,1.0,No Info,7378
Spicejet,2019-03-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,5831
Indigo,2019-06-27,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3419
Air India,2019-05-21,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,9968
Spicejet,2019-05-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Air India,2019-05-15,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,14960
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Jet Airways,2019-05-18,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Jet Airways,2019-05-06,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,26890
Multiple Carriers,2019-06-01,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10407
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,5575
Air India,2019-05-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,8273
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Indigo,2019-03-03,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No Info,11600
Indigo,2019-06-06,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Air India,2019-03-15,Banglore,New Delhi,05:50:00,23:45:00,1075,2.0,No Info,7664
Air India,2019-03-09,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,14483
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,In-flight meal not included,9212
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,20:20:00,875,1.0,No Info,27992
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,23:00:00,900,1.0,In-flight meal not included,7832
Indigo,2019-04-01,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4174
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Indigo,2019-06-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9165
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,18:50:00,1470,2.0,No Info,12604
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,14151
Goair,2019-04-03,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Indigo,2019-04-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Goair,2019-05-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Jet Airways,2019-06-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,7229
Indigo,2019-04-06,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-05-21,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Indigo,2019-06-01,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6416
Indigo,2019-03-21,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,5694
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,21:20:00,1485,1.0,In-flight meal not included,11087
Spicejet,2019-05-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Goair,2019-06-27,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Air Asia,2019-03-06,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4384
Indigo,2019-04-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4174
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,In-flight meal not included,10197
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,12692
Air India,2019-03-12,Banglore,New Delhi,17:25:00,18:05:00,1480,3.0,No Info,13387
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,23:00:00,960,1.0,No Info,13817
Indigo,2019-06-15,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Indigo,2019-06-09,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6093
Jet Airways,2019-05-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Goair,2019-04-06,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5135
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,14714
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,5704
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Indigo,2019-04-06,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Air India,2019-05-09,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,No Info,14214
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,12819
Indigo,2019-04-03,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5073
Indigo,2019-05-15,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,07:40:00,1365,1.0,No Info,14815
Jet Airways,2019-04-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,10877
Vistara,2019-04-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5613
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7575
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,No Info,14714
Spicejet,2019-04-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3971
Air Asia,2019-06-03,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-05-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Indigo,2019-03-24,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,4238
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6152
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6253
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,21:20:00,1435,1.0,No Info,17471
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,22:55:00,945,1.0,No Info,12732
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3717
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,No Info,13941
Jet Airways,2019-06-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Air India,2019-06-03,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13381
Air India,2019-05-01,Kolkata,Banglore,09:10:00,21:50:00,760,2.0,No Info,12009
Jet Airways,2019-06-01,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,14714
Air India,2019-06-24,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8879
Air India,2019-06-24,Delhi,Cochin,19:00:00,07:40:00,760,1.0,No Info,8372
Indigo,2019-06-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Multiple Carriers,2019-06-12,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,11789
Jet Airways,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,16289
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Indigo,2019-05-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6442
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,9555
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,08:15:00,1400,1.0,No Info,14815
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,No Info,13817
Jet Airways,2019-04-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Air Asia,2019-05-21,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,8327
Indigo,2019-06-27,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-06-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-03-21,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6287
Goair,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Indigo,2019-03-15,Banglore,New Delhi,13:40:00,18:35:00,295,1.0,No Info,7166
Spicejet,2019-04-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3919
Indigo,2019-04-12,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4990
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Spicejet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Air India,2019-05-06,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Goair,2019-05-03,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Vistara,2019-05-06,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,10953
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Banglore,New Delhi,08:55:00,09:00:00,1445,1.0,In-flight meal not included,8147
